gene,position,trxMean,energyMean
eYGR100W,0,0,0
eYGR100W,200,4.81627296587927,-3.03989501312336
eYGR100W,400,9.00688468158348,-5.73046471600689
eYGR100W,600,10.6081946222791,-6.98079385403329
eYGR100W,800,11.9490316004077,-7.85953109072375
eYGR100W,1000,13.0524978831499,-8.57290431837426
eYGR100W,1200,13.6893555394642,-8.77849384503983
eYGR100W,1400,14.08981657179,-8.70670461733081
eYGR100W,1600,14.5087029758563,-9.01263335204942
eYGR100W,1800,14.8157496214033,-9.33442705704191
eYGR100W,2000,15.0476845483723,-9.40256762952775
eYGR100W,2200,15.2889542209156,-9.6007139857203
eYGR100W,2400,15.44323905463,-9.88306857807054
eYGR100W,2600,15.5095289464222,-10.0628910463862
eYGR100W,2800,15.6957396846696,-10.2760147601476
eYGR100W,3000,15.5765338393422,-10.2241302972802
eYGR100W,3200,14.69361575179,-9.64460023866351
eYGR100W,3400,14.5762059781,-9.56753477360169
eYGR100W,0,0,0
eYGR100W,200,4.81627296587927,-3.03989501312336
eYGR100W,400,9.00688468158348,-5.73046471600689
eYGR100W,600,10.6081946222791,-6.98079385403329
eYGR100W,800,11.9490316004077,-7.85953109072375
eYGR100W,1000,13.0524978831499,-8.57290431837426
eYGR100W,1200,13.6893555394642,-8.77849384503983
eYGR100W,1400,14.08981657179,-8.70670461733081
eYGR100W,1600,14.5087029758563,-9.01263335204942
eYGR100W,1800,14.8157496214033,-9.33442705704191
eYGR100W,2000,15.0476845483723,-9.40256762952775
eYGR100W,2200,15.2889542209156,-9.6007139857203
eYGR100W,2400,15.44323905463,-9.88306857807054
eYGR100W,2600,15.5095289464222,-10.0628910463862
eYGR100W,2800,15.6957396846696,-10.2760147601476
eYGR100W,3000,15.5765338393422,-10.2241302972802
eYGR100W,3200,14.69361575179,-9.64460023866351
eYGR100W,3400,14.5762059781,-9.56753477360169
